,Continent,Rank,Age
0,AF,93.990212585,18.0
1,AS,89.203311335,18.0
2,EU,93.95317407,18.0
3,NoA,94.06114738,18.0
4,OC,98.506237206,18.0
5,SA,102.65667189499999,18.0
6,AF,79.46485719025,18.5
7,AS,75.46312393599999,18.5
8,EU,79.42318092625,18.5
9,NoA,79.5206789815,18.5
10,OC,82.8232486384,18.5
11,SA,86.45333630575001,18.5
12,AF,66.39708675,19.0
13,AS,63.112415297999995,19.0
14,EU,66.352626426,19.0
15,NoA,66.439577654,19.0
16,OC,68.7547407388,19.0
17,SA,71.887882174,19.0
18,AF,54.786901264250005,19.5
19,AS,52.151185420999994,19.5
20,EU,54.741510569249996,19.5
21,NoA,54.8178433975,19.5
22,OC,56.3007135072,19.5
23,SA,58.96030949975,19.5
24,AF,44.634300733,20.0
25,AS,42.57943430499999,20.0
26,EU,44.589833356,20.0
27,NoA,44.655476211999996,20.0
28,OC,45.46116694359999,20.0
29,SA,47.670618283,20.0
30,AF,35.93928515625,20.5
31,AS,34.39716195,20.5
32,EU,35.89759478625,20.5
33,NoA,35.952476097499996,20.5
34,OC,36.236101047999995,20.5
35,SA,38.018808523749996,20.5
36,AF,28.701854534000002,21.0
37,AS,27.604368356,21.0
38,EU,28.66479486,21.0
39,NoA,28.708843054,21.0
40,OC,28.625515820399997,21.0
41,SA,30.004880221999997,21.0
42,AF,22.922008866250003,21.5
43,AS,22.201053523,21.5
44,EU,22.891433577249998,21.5
45,NoA,22.9245770815,21.5
46,OC,22.629411260799998,21.5
47,SA,23.62883337775,21.5
48,AF,18.599748153,22.0
49,AS,18.187217451,22.0
50,EU,18.577510938,22.0
51,NoA,18.599678179999998,22.0
52,OC,18.2477873692,22.0
53,SA,18.890667991,22.0
54,AF,15.73507239425,22.5
55,AS,15.56286014,22.5
56,EU,15.72302694225,22.5
57,NoA,15.7341463495,22.5
58,OC,15.4806441456,22.5
59,SA,15.79038406175,22.5
60,AF,14.32798159,23.0
61,AS,14.32798159,23.0
62,EU,14.32798159,23.0
63,NoA,14.32798159,23.0
64,OC,14.32798159,23.0
65,SA,14.32798159,23.0
66,AF,14.37847574025,23.5
67,AS,14.482581801,23.5
68,EU,14.392374881250001,23.5
69,NoA,14.3811839015,23.5
70,OC,14.7897997024,23.5
71,SA,14.503460575750001,23.5
72,AF,15.886554845,24.0
73,AS,16.026660773,24.0
74,EU,15.916206815999999,24.0
75,NoA,15.893753284,24.0
76,OC,16.866098482800002,24.0
77,SA,16.316821019000002,24.0
78,AF,18.85221890425,24.5
79,AS,18.960218506,24.5
80,EU,18.89947739425,24.5
81,NoA,18.865689737500002,24.5
82,OC,20.5568779312,24.5
83,SA,19.76806291975,24.5
84,AF,23.275467918,25.0
85,AS,23.283255,25.0
86,EU,23.342186616,25.0
87,NoA,23.296993262,25.0
88,OC,25.8621380476,25.0
89,SA,24.857186278,25.0
90,AF,29.15630188625,25.5
91,AS,28.995770255,25.5
92,EU,29.24433448125,25.5
93,NoA,29.1876638575,25.5
94,OC,32.781878832,25.5
95,SA,31.58419109375,25.5
96,AF,36.494720809,26.0
97,AS,36.097764270999996,26.0
98,EU,36.60592099,26.0
99,NoA,36.537701524,26.0
100,OC,41.316100284399994,26.0
101,SA,39.949077367,26.0
102,AF,45.29072468625,26.5
103,AS,44.589237048,26.5
104,EU,45.42694614225,26.5
105,NoA,45.3471062615,26.5
106,OC,51.4648024048,26.5
107,SA,49.951845097749995,26.5
108,AF,55.544313518,27.0
109,AS,54.470188586,27.0
110,EU,55.707409938,27.0
111,NoA,55.61587807,27.0
112,OC,63.2279851932,27.0
113,SA,61.592494286000004,27.0
114,AF,67.25548730425,27.5
115,AS,65.740618885,27.5
116,EU,67.44731237725,27.5
117,NoA,67.3440169495,27.5
118,OC,76.6056486496,27.5
119,SA,74.87102493175001,27.5
120,AF,80.424246045,28.0
121,AS,78.400527945,28.0
122,EU,80.64665346000001,28.0
123,NoA,80.53152289999998,28.0
124,OC,91.597792774,28.0
125,SA,89.787437035,28.0
126,AF,95.05058974024999,28.5
127,AS,92.449915766,28.5
128,EU,95.30543318625001,28.5
129,NoA,95.1783959215,28.5
130,OC,108.20441756639998,28.5
131,SA,106.34173059575,28.5
132,AF,111.13451839000001,29.0
133,AS,107.88878234799999,29.0
134,EU,111.423651556,29.0
135,NoA,111.284636014,29.0
136,OC,126.42552302679998,29.0
137,SA,124.533905614,29.0
138,AF,128.67603199425002,29.5
139,AS,124.71712769099999,29.5
140,EU,129.00130856925003,29.5
141,NoA,128.8502431775,29.5
142,OC,146.2611091552,29.5
143,SA,144.36396208975,29.5
144,AF,147.675130553,30.0
145,AS,142.934951795,30.0
146,EU,148.038404226,30.0
147,NoA,147.875217412,30.0
148,OC,167.71117595159998,30.0
149,SA,165.83190002299997,30.0
150,AF,168.13181406625,30.5
151,AS,162.54225465999997,30.5
152,EU,168.53493852625002,30.5
153,NoA,168.3595587175,30.5
154,OC,190.775723416,30.5
155,SA,188.93771941375002,30.5
