,last_name,rank,age
1178,Koubek,40,23
1179,Koubek,81,24
1180,Koubek,46,25
1181,Koubek,59,26
1182,Koubek,92,27
1183,Koubek,79,28
1184,Koubek,119,29
1185,Koubek,63,30
1186,Koubek,79,31
1187,Koubek,182,32
1188,Koubek,132,33
1189,Koubek,310,34
1190,Koubek,904,35
1204,Gimelstob,95,23
1205,Gimelstob,121,24
1206,Gimelstob,149,25
1207,Gimelstob,95,26
1208,Gimelstob,162,27
1209,Gimelstob,112,28
1210,Gimelstob,90,29
1211,Gimelstob,155,30
1212,Gimelstob,601,31
1221,Vicente,44,23
1222,Vicente,52,24
1223,Vicente,58,25
1224,Vicente,62,26
1225,Vicente,178,27
1226,Vicente,130,28
1227,Vicente,103,29
1228,Vicente,136,30
1229,Vicente,182,31
1230,Vicente,279,32
1231,Vicente,549,33
1232,Vicente,917,34
1280,Sa,90,23
1281,Sa,109,24
1282,Sa,81,25
1283,Sa,134,26
1284,Sa,213,27
1285,Sa,162,28
1286,Sa,186,29
1287,Sa,209,30
1288,Sa,619,31
1291,Gambill,55,23
1292,Gambill,20,24
1293,Gambill,43,25
1294,Gambill,42,26
1295,Gambill,83,27
1296,Gambill,141,28
1297,Gambill,344,29
1298,Gambill,683,30
1299,Gambill,1142,31
1300,Gambill,1312,34
1332,Kiefer,12,23
1333,Kiefer,38,24
1334,Kiefer,61,25
1335,Kiefer,73,26
1336,Kiefer,32,27
1337,Kiefer,28,28
1338,Kiefer,19,29
1339,Kiefer,145,30
1340,Kiefer,38,31
1341,Kiefer,37,32
1342,Kiefer,184,33
1343,Kiefer,720,34
2857,Federer,40,19
2858,Federer,14,20
2859,Federer,11,21
2860,Federer,4,22
2861,Federer,1,23
2862,Federer,1,24
2863,Federer,1,25
2864,Federer,1,26
2865,Federer,1,27
2866,Federer,2,28
2867,Federer,2,29
2868,Federer,3,30
2869,Federer,2,31
2870,Federer,5,32
2871,Federer,3,33
2872,Federer,2,34
2873,Federer,3,35
2874,Federer,4,36
2875,Federer,2,37
5245,Nadal,74,17
5246,Nadal,49,18
5247,Nadal,3,19
5248,Nadal,2,20
5249,Nadal,2,21
5250,Nadal,2,22
5251,Nadal,2,23
5252,Nadal,1,24
5253,Nadal,2,25
5254,Nadal,3,26
5255,Nadal,4,27
5256,Nadal,2,28
5257,Nadal,6,29
5258,Nadal,5,30
5259,Nadal,2,31
5260,Nadal,1,32
