"","X","rank","player","points","date","year","month","right_hand","age","birthdate","last_name","first_name","avg_playtime","avg_aces","total_matches","avg_1stin","avg_1stWon","avg_2ndWon","avg_bpSaved","avg_bpFaced","avg_svpt","countries","countries_iso","continent","obs.by.player","rank_sqrt","obs.by.age","mean.rank","p.first.won","p.serves.won","p.breaks.saved","c.first.won","z.first.won","c.serves.won","z.serves.won","c.breaks.saved","z.breaks.saved","c.avg.aces","z.avg.aces","age.27","age.27sq","age.2.7","age.2.7sq","predicted.rank.final.model"
"1",4,85,100644,607,"5/18/2015",2015,5,1,18,"4/20/1997","Zverev","Alexander",100.3111111,4.733333333,45,41.33333333,28.2,15.46666667,3.866666667,6.755555556,71.86666667,"GER","DEU","EU",6,9.21954445729289,15,4.91833118489761,0.68225806457115,0.60760667905345,0.572368421064318,-0.0386685411402954,-1.3396216359688,-0.0329407165022273,-1.25521408511233,-0.0424671052383641,-1.31937160198309,-1.661871525,-1.08143882136631,-9,81,-0.9,8.1,8.11887295857237
"2",5,28,100644,1415,"8/29/2016",2016,8,1,19,"4/20/1997","Zverev","Alexander",97.47058824,5.911764706,34,41.88235294,31.02941176,13.82352941,3.588235294,5.882352941,69.08823529,"GER","DEU","EU",6,5.29150262212918,63,4.91833118489761,0.740870786425305,0.649212430766662,0.6099999999983,0.0199441807138602,0.690940366718853,0.00866503521098461,0.330183292888811,-0.00483552630438189,-0.150230538456392,-0.483440152,-0.314591675899875,-8,64,-0.8,6.4,5.47223200319765
"3",6,10,100644,3070,"6/12/2017",2017,6,1,20,"4/20/1997","Zverev","Alexander",118.880597,6.52238806,67,53.37313433,38.19402985,16.74626866,4.462686567,7.089552239,86.49253731,"GER","DEU","EU",6,3.16227766016838,127,4.91833118489761,0.715604026809643,0.635202761055409,0.629473684170141,-0.0053225789018021,-0.184393867618008,-0.00534463450026856,-0.203658609067013,0.0146381578674589,0.45477952140292,0.127183202,0.082762626351922,-7,49,-0.7,4.9,5.28636149216665
"4",7,4,100644,4610,"1/1/2018",2018,1,1,21,"4/20/1997","Zverev","Alexander",104,8.413333333,75,50.4,37.54666667,15.2,3.453333333,5.333333333,78.70666667,"GER","DEU","EU",6,2,221,4.91833118489761,0.744973545039683,0.670167711347189,0.647499999977969,0.0240469393282374,0.833075136867959,0.0296203157915114,1.12868940129054,0.0326644736752868,1.01482261903655,2.018128475,1.31326787091426,-6,36,-0.6,3.6,3.63470230792063
"5",25,46,101532,816,"10/23/2000",2000,10,0,32,"10/24/1968","Clavet","Francisco",109.8245614,2.421052632,57,52.56140351,34.31578947,15.98245614,4.754385965,8,82.8245614,"ESP","ESP","EU",5,6.78232998312527,236,12.1798292060978,0.652870493906642,0.607286591800775,0.594298245625,0.0145505516459539,0.327068120596134,0.0140190698404385,0.339311309092662,0.0132743276153179,0.629311544404016,0.2958807682,1.3375061479054,5,25,0.5,2.5,7.68962796377877
"6",26,51,101532,715,"12/31/2001",2001,12,0,33,"10/24/1968","Clavet","Francisco",100.3793103,2.189655172,58,48.25862069,32.46551724,14.55172414,4.051724138,6.793103448,75.63793103,"ESP","ESP","EU",5,7.14142842854285,181,12.1798292060978,0.672740264346747,0.62160930025111,0.596446700541988,0.0344203220860591,0.773701941268422,0.0283417782907734,0.685971751572036,0.0154227825323056,0.731165854548639,0.0644833082000003,0.291491811649214,6,36,0.6,3.6,9.23337746134998
"7",27,84,101532,488,"3/25/2002",2002,3,0,34,"10/24/1968","Clavet","Francisco",102.24,2,50,44.5,29.44,15.42,3.88,6.52,72.34,"ESP","ESP","EU",5,9.16515138991168,121,12.1798292060978,0.661573033707865,0.620127177218689,0.595092024539877,0.0232530914471772,0.52268430109955,0.0268596552583533,0.650099107231809,0.0140681065301952,0.666943148001049,-0.1251718638,-0.565829737416767,7,49,0.7,4.9,11.6114252084998
"8",28,208,101532,166,"7/7/2003",2003,7,0,35,"10/24/1968","Clavet","Francisco",106.5151515,2.181818182,33,53.09090909,34.15151515,12.90909091,4.636363636,8.121212121,79.03030303,"ESP","ESP","EU",5,14.422205101856,85,12.1798292060978,0.643264840165124,0.595475460117314,0.570895522358195,0.00494489790443642,0.111151694004228,0.00220793815697773,0.0534399496519177,-0.010128395651487,-0.480168675543089,0.0566463182000003,0.256065303972352,8,64,0.8,6.4,14.9858101299046
"9",29,547,101532,36,"4/12/2004",2004,4,0,36,"10/24/1968","Clavet","Francisco",96.16666667,1.833333333,6,46.33333333,26,11.83333333,5.666666667,10.33333333,72.5,"ESP","ESP","EU",5,23.388031127053,52,12.1798292060978,0.561151079177061,0.521839080413793,0.548387096983351,-0.0771688630836268,-1.73460605696834,-0.071428441546543,-1.72882211754843,-0.0326368210263315,-1.54725187141061,-0.2918385308,-1.3192335261102,9,81,0.9,8.1,19.8265397116668
"10",53,59,101723,710,"8/14/2000",2000,8,1,30,"3/25/1970","Larsson","Magnus",93.21875,6.59375,32,50.25,35.8125,15.40625,3.59375,6,79.875,"SWE","SWE","EU",5,7.68114574786861,362,12.0906895343505,0.712686567164179,0.641236306729264,0.598958333333333,-0.0131422176110578,-0.762440908116645,-0.00353856106341455,-0.649990743499303,-0.0140952372524967,-0.351776180553631,-0.19604349425,-0.310043867571339,3,9,0.3,0.9,10.3499284458155
"11",54,182,101723,208,"9/3/2001",2001,9,1,31,"3/25/1970","Larsson","Magnus",84.55555556,6.055555556,18,45.94444444,32.66666667,15,3.555555556,5.722222222,73.55555556,"SWE","SWE","EU",5,13.490737563232,302,12.0906895343505,0.711003627710859,0.648036253782596,0.621359223402771,-0.014825157064378,-0.860076019866366,0.00326138598991699,0.599077044717938,0.00830565281694107,0.207284969568746,-0.734237938250001,-1.16120134954509,4,16,0.4,1.6,11.0744564606925
"12",55,147,101723,263,"10/21/2002",2002,10,1,32,"3/25/1970","Larsson","Magnus",106.8947368,6.947368421,19,57.05263158,41.78947368,15.73684211,4.157894737,7.315789474,90,"SWE","SWE","EU",5,12.1243556529821,236,12.0906895343505,0.732472324635932,0.639181286555556,0.568345323738057,0.00664353986069532,0.385422515012667,-0.0055935812371235,-1.02747302137364,-0.044708246847773,-1.11578798097724,0.15757492675,0.249205615869808,5,25,0.5,2.5,13.8262272295205
"13",56,227,101723,149,"7/7/2003",2003,7,1,33,"3/25/1970","Larsson","Magnus",98.75,7.5625,16,54.875,41,15.6875,4.4375,6.6875,87.125,"SWE","SWE","EU",5,15.0665191733194,181,12.0906895343505,0.747152619589977,0.6506456241033,0.663551401869159,0.0213238348147403,1.23709441297033,0.00587075631062084,1.07838672015496,0.0504978312833287,1.26027919196213,0.77270650575,1.22203960124662,6,36,0.6,3.6,13.9579713515436
"14",71,1,101736,5045,"2/28/2000",2000,2,1,30,"4/29/1970","Agassi","Andre",89.36486486,5.216216216,74,44.04054054,33.71621622,15.51351351,3.189189189,4.554054054,71.83783784,"USA","USA","NoA",8,1,362,3.7969987000837,0.765572261525199,0.685289691480503,0.700296735871814,0.0226086148490049,1.40024846507407,0.0167998871757814,1.28442351785646,0.0405302661438688,1.2025394537442,-0.91101527125,-0.690059433297782,3,9,0.3,0.9,0.270245912518035
"15",72,3,101736,3795,"7/16/2001",2001,7,1,31,"4/29/1970","Agassi","Andre",93.78,5.3,50,45.74,33.62,15.7,3.6,5.48,74.32,"USA","USA","NoA",8,1.73205080756888,302,3.7969987000837,0.735024048972453,0.663616792249731,0.656934306569343,-0.00793959770374097,-0.491733331396826,-0.00487301205499058,-0.372562697638284,-0.0028321631586018,-0.0840307321341058,-0.827231487250001,-0.626596402181679,4,16,0.4,1.6,2.36599961605126
"16",73,4,101736,2725,"6/17/2002",2002,6,1,32,"4/29/1970","Agassi","Andre",103.7333333,4.983333333,60,52.43333333,38.18333333,14.33333333,3.333333333,5.416666667,78.96666667,"USA","USA","NoA",8,2,236,3.7969987000837,0.728226319118133,0.665048543576824,0.615384615285207,-0.0147373275580612,-0.912745890462075,-0.00344126072789774,-0.263099160353862,-0.0443818544427378,-1.31681669220418,-1.14389815425,-0.866459363506673,5,25,0.5,2.5,3.20605832866893
"17",74,2,101736,4495,"2/24/2003",2003,2,1,33,"4/29/1970","Agassi","Andre",96.36923077,5.830769231,65,46.27692308,34.53846154,15.38461538,2.8,4.415384615,73.98461538,"USA","USA","NoA",8,1.4142135623731,181,3.7969987000837,0.746343085090004,0.674776460803168,0.634146341518654,0.00337943841380983,0.209303112258461,0.00628665649844617,0.480641885912775,-0.0256201282092909,-0.760153285751808,-0.296462256250001,-0.224558888306404,6,36,0.6,3.6,2.98917731714236
"18",75,7,101736,2140,"9/13/2004",2004,9,1,34,"4/29/1970","Agassi","Andre",101.7719298,5.543859649,57,48.64912281,36.05263158,16.28070175,3.350877193,5.192982456,78.15789474,"USA","USA","NoA",8,2.64575131106459,121,3.7969987000837,0.741074648371445,0.6695847361817,0.645270270291088,-0.00188899830474865,-0.116993765182755,0.00109493187697873,0.0837122439292089,-0.0144961994368564,-0.430104546816587,-0.583371838250001,-0.44188198903881,7,49,0.7,4.9,4.17448323634686
"19",76,7,101736,2275,"12/5/2005",2005,12,1,35,"4/29/1970","Agassi","Andre",94.62,6.96,50,45.38,34.58,16.76,3.26,4.7,75.32,"USA","USA","NoA",8,2.64575131106459,85,3.7969987000837,0.762009695901278,0.681625066383431,0.693617021276596,0.0190460492250841,1.17960349942991,0.0131352620787093,1.00424719229209,0.0338505515486508,1.0043512574963,0.83276851275,0.630790488493144,8,64,0.8,6.4,4.05438552394708
"20",77,22,101736,1270,"7/31/2006",2006,7,1,36,"4/29/1970","Agassi","Andre",97.26530612,6.183673469,49,45.93877551,34.34693878,16.87755102,4.326530612,6.183673469,77.02040816,"USA","USA","NoA",8,4.69041575982343,52,3.7969987000837,0.747667703344059,0.66507684162862,0.699669967000969,0.00470405666786511,0.291342400796814,-0.00341296267610136,-0.260935652774526,0.0399034972730246,1.18394312148984,0.0564419817499999,0.0427526553832274,9,81,0.9,8.1,6.42413466120782
"21",78,203,101736,195,"7/2/2007",2007,7,1,37,"4/29/1970","Agassi","Andre",114.3888889,9,18,54.33333333,39,20.11111111,4.5,7.111111111,91.94444444,"USA","USA","NoA",8,14.247806848775,29,3.7969987000837,0.717791411086981,0.642900302133796,0.632812500009888,-0.0251722355892128,-1.55902449051758,-0.0255895021709257,-1.95642732922384,-0.0269539697180571,-0.79972857582366,2.87276851275,2.17601293245497,10,100,1,10,10.1153437597915
