"","X","rank","player","points","date","year","month","right_hand","age","birthdate","first_name","last_name","countries","countries_iso","continent","obs.by.player","rank_log","obs.by.age","average.rank.by.age","age_28","age_2.8","age_28sq","age_2.8sq","average.rank.by.player","predicted.rank.final.model"
"1",10,1165,100644,5,"11/12/2012",2012,11,1,15,"4/20/1997","Alexander","Zverev","GER","DEU","EU",7,3.06632592536204,67,3.14836088588851,-13,-1.3,169,1.69,1.91577601980632,3.24473595990227
"2",11,814,100644,17,"6/10/2013",2013,6,1,16,"4/20/1997","Alexander","Zverev","GER","DEU","EU",7,2.9106244048892,340,3.13722255412608,-12,-1.2,144,1.44,1.91577601980632,2.72866985387493
"3",12,285,100644,163,"7/14/2014",2014,7,1,17,"4/20/1997","Alexander","Zverev","GER","DEU","EU",7,2.45484486000851,999,3.11183573970775,-11,-1.1,121,1.21,1.91577601980632,2.26741009025419
"4",13,85,100644,607,"5/18/2015",2015,5,1,18,"4/20/1997","Alexander","Zverev","GER","DEU","EU",7,1.92941892571429,1792,3.06545833846481,-10,-1,100,1,1.91577601980632,1.86095666904005
"5",14,28,100644,1415,"8/29/2016",2016,8,1,19,"4/20/1997","Alexander","Zverev","GER","DEU","EU",7,1.44715803134222,2343,2.98296877912089,-9,-0.9,81,0.81,1.91577601980632,1.50930959023251
"6",15,10,100644,3070,"6/12/2017",2017,6,1,20,"4/20/1997","Alexander","Zverev","GER","DEU","EU",7,1,2697,2.91687138242638,-8,-0.8,64,0.64,1.91577601980632,1.21246885383156
"7",16,4,100644,4610,"1/1/2018",2018,1,1,21,"4/20/1997","Alexander","Zverev","GER","DEU","EU",7,0.602059991327962,2863,2.86742098304593,-7,-0.7,49,0.49,1.91577601980632,0.970434459837217
"8",23,98,101086,408,"6/26/2000",2000,6,1,36,"11/13/1964","Ronald","Agenor","USA","USA","NoA",6,1.99122607569249,129,2.76286169712753,8,0.8,64,0.64,2.45989283145554,2.15084873858768
"9",24,170,101086,231,"9/24/2001",2001,9,1,37,"11/13/1964","Ronald","Agenor","USA","USA","NoA",6,2.23044892137827,82,2.80268707994552,9,0.9,81,0.81,2.45989283145554,2.35581379263228
"10",25,439,101086,58,"7/15/2002",2002,7,1,38,"11/13/1964","Ronald","Agenor","USA","USA","NoA",6,2.64246452024212,46,2.8876776209483,10,1,100,1,2.45989283145554,2.58638084437521
"11",26,945,101086,6,"3/3/2003",2003,3,1,39,"11/13/1964","Ronald","Agenor","USA","USA","NoA",6,2.97543180850926,26,2.95604750677089,11,1.1,121,1.21,2.45989283145554,2.84254989381648
"12",29,64,101150,644,"7/3/2000",2000,7,0,35,"6/17/1965","Gianluca","Pozzi","ITA","ITA","EU",6,1.80617997398389,205,2.75319183451524,7,0.7,49,0.49,2.55461348677999,1.94744147497468
"13",30,74,101150,575,"6/25/2001",2001,6,0,36,"6/17/1965","Gianluca","Pozzi","ITA","ITA","EU",6,1.86923171973098,129,2.76286169712753,8,0.8,64,0.64,2.55461348677999,2.16050324767325
"14",31,241,101150,142,"7/8/2002",2002,7,0,37,"6/17/1965","Gianluca","Pozzi","ITA","ITA","EU",6,2.38201704257487,82,2.80268707994552,9,0.9,81,0.81,2.55461348677999,2.40236108210971
"15",32,890,101150,8,"7/7/2003",2003,7,0,38,"6/17/1965","Gianluca","Pozzi","ITA","ITA","EU",6,2.94939000664491,46,2.8876776209483,10,1,100,1,2.55461348677999,2.67301497828407
"16",33,1428,101150,1,"10/25/2004",2004,10,0,39,"6/17/1965","Gianluca","Pozzi","ITA","ITA","EU",6,3.15472820744016,26,2.95604750677089,11,1.1,121,1.21,2.55461348677999,2.97246493619633
"17",34,1466,101150,1,"2/14/2005",2005,2,0,40,"6/17/1965","Gianluca","Pozzi","ITA","ITA","EU",6,3.16613397030511,22,3.0408473034543,12,1.2,144,1.44,2.55461348677999,3.30071095584648
"18",99,46,101532,816,"10/23/2000",2000,10,0,32,"10/24/1968","Francisco","Clavet","ESP","ESP","EU",5,1.66275783168157,564,2.65066108042934,4,0.4,16,0.16,2.07013159102752,1.69410741398643
"19",100,51,101532,715,"12/31/2001",2001,12,0,33,"10/24/1968","Francisco","Clavet","ESP","ESP","EU",5,1.70757017609794,428,2.68458119667634,5,0.5,25,0.25,2.07013159102752,1.86279774267551
"20",101,84,101532,488,"3/25/2002",2002,3,0,34,"10/24/1968","Francisco","Clavet","ESP","ESP","EU",5,1.92427928606188,293,2.71013733597808,6,0.6,36,0.36,2.07013159102752,2.06339752049627
"21",102,208,101532,166,"7/7/2003",2003,7,0,35,"10/24/1968","Francisco","Clavet","ESP","ESP","EU",5,2.31806333496276,205,2.75319183451524,7,0.7,49,0.49,2.07013159102752,2.29590674744873
"22",103,547,101532,36,"4/12/2004",2004,4,0,36,"10/24/1968","Francisco","Clavet","ESP","ESP","EU",5,2.73798732633343,129,2.76286169712753,8,0.8,64,0.64,2.07013159102752,2.56032542353288
"23",152,129,101675,303,"6/12/2000",2000,6,1,31,"12/18/1969","Martin","Rodriguez","ARG","ARG","SA",5,2.11058971029925,757,2.63472150560954,3,0.3,9,0.09,2.62938006000263,2.23982824998004
"24",153,222,101675,159,"7/2/2001",2001,7,1,32,"12/18/1969","Martin","Rodriguez","ARG","ARG","SA",5,2.34635297445064,564,2.65066108042934,4,0.4,16,0.16,2.62938006000263,2.40853986240368
"25",154,594,101675,30,"7/8/2002",2002,7,1,33,"12/18/1969","Martin","Rodriguez","ARG","ARG","SA",5,2.77378644498119,428,2.68458119667634,5,0.5,25,0.25,2.62938006000263,2.60791436327963
"26",155,907,101675,8,"12/29/2003",2003,12,1,34,"12/18/1969","Martin","Rodriguez","ARG","ARG","SA",5,2.9576072870601,293,2.71013733597808,6,0.6,36,0.36,2.62938006000263,2.8379517526079
"27",156,909,101675,8,"1/12/2004",2004,1,1,35,"12/18/1969","Martin","Rodriguez","ARG","ARG","SA",5,2.95856388322197,205,2.75319183451524,7,0.7,49,0.49,2.62938006000263,3.09865203038848
"28",170,59,101723,710,"8/14/2000",2000,8,1,30,"3/25/1970","Magnus","Larsson","SWE","SWE","EU",5,1.77085201164214,989,2.64767086582772,2,0.2,4,0.04,2.27593854186727,1.94405699422465
"29",171,182,101723,208,"9/3/2001",2001,9,1,31,"3/25/1970","Magnus","Larsson","SWE","SWE","EU",5,2.26007138798507,757,2.63472150560954,3,0.3,9,0.09,2.27593854186727,2.08488283348734
"30",172,147,101723,263,"10/21/2002",2002,10,1,32,"3/25/1970","Magnus","Larsson","SWE","SWE","EU",5,2.16731733474818,564,2.65066108042934,4,0.4,16,0.16,2.27593854186727,2.25739721459603
